Smiles,IC50_nM,pIC50
C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1,16.0,7.795880017344075
C#CCNC(=O)c1cc(Nc2cc(C3CC3)[nH]n2)nc(N2CCN(Cc3ccc(S(=O)(=O)F)cc3)CC2)n1,125.0,6.903089986991944
C#CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,7.0,8.154901959985743
C#CCn1cc(-c2ccnc(Nc3cc(NC(=O)C=C)c(N(C)CCN(C)C)cc3OC)n2)c2ccccc21,1.01,8.995678626217357
C#Cc1cccc(Nc2ccnc3cc(OC)c(OC)cc23)c1,1500.0,5.823908740944319
C#Cc1cccc(Nc2ccnc3cc(OCCOC)c(OCCOC)cc23)c1,1500.0,5.823908740944319
C#Cc1cccc(Nc2nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3n2C(C)C)c1,3.0,8.522878745280337
C#Cc1cccc(Nc2ncnc3cc(OC(C)C)c4c(c23)OCCO4)c1,31.4,7.503070351926786
C#Cc1cccc(Nc2ncnc3cc(OC(C)COC)c4c(c23)OCCO4)c1,76.1,7.118615343229427
C#Cc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,140.0,6.853871964321762
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCN4CCOCC4)cc23)c1,208.9,6.680061560019691
C#Cc1cccc(Nc2ncnc3cc(OC4CCOC4)c4c(c23)OCCO4)c1,323.6,6.489991487059765
C#Cc1cccc(Nc2ncnc3cc(OCC)c4c(c23)OCCO4)c1,21.5,7.667561540084394
C#Cc1cccc(Nc2ncnc3cc(OCC4CCCO4)c4c(c23)OCCO4)c1,121.0,6.917214629683549
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,4312.0,5.365321247821318
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c4c(c23)OCCO4)c1,8.1,8.09151498112135
C#Cc1nn([C@@H]2CCCN(C(=O)C=C)C2)c2ncnc(N)c12,691.5,6.160207815554671
C/C(=N\Nc1ncc(Cl)c(Nc2cccc(NC(=O)/C=C/CN(C)C)c2)n1)c1ccc(F)cc1,2350.0,5.628932137728263
C/C(=N\Nc1ncc(Cl)c(Nc2cccc(NC(=O)/C=C/CN(C)C)c2)n1)c1ccc(F)cc1F,720.0,6.142667503568731
C/C(=N\Nc1ncc(Cl)c(Nc2cccc(NC(=O)/C=C/CN(C)C)c2)n1)c1ccccn1,2380.0,5.623423042943488
C/C(=N\Nc1ncc(Cl)c(Nc2cccc(NC(=O)/C=C/CN(C)C)c2)n1)c1cccnc1,4320.0,5.364516253185088
